ID,Video_File,x,y,timestamp,Experience,action type,timing,sound type
1764449971347,output_with_sound_B_1_1.mp4,1348,458,4.783,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,988,490,5.9,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,988,490,6.056,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1009,511,6.083,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1025,532,6.116,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1025,551,6.15,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1020,570,6.183,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1007,575,6.216,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1001,575,6.25,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,977,548,6.283,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,956,506,6.316,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,945,484,6.35,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,977,479,6.416,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,1031,474,6.45,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,711,476,10.474,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,719,476,10.5,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,729,479,10.533,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,735,479,10.566,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,743,482,10.6,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,748,487,10.633,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,759,495,10.666,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,764,508,10.7,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,775,524,10.733,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,775,535,10.767,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,775,546,10.8,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,772,554,10.833,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,767,556,10.866,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,756,559,10.9,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,735,559,10.933,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,716,548,10.966,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,697,527,11.0,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,684,506,11.033,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,684,490,11.066,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,684,476,11.1,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,695,463,11.133,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,705,455,11.166,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,713,455,11.2,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_B_1_1.mp4,716,452,11.233,Experienced,slide,correct,instrumental sound
1764449971347,output_with_sound_A_1_4.mp4,1039,620,5.78,Experienced,drum,correct,environmental sound
1764449971347,output_with_sound_A_1_4.mp4,1044,634,5.809,Experienced,drum,correct,environmental sound
1764449971347,output_with_sound_A_1_4.mp4,1049,655,5.842,Experienced,drum,correct,environmental sound
1764449971347,output_with_sound_A_1_4.mp4,1049,687,5.875,Experienced,drum,correct,environmental sound
